,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
5138,"""The vast, overwhelming majority of [crimes that occur with a firearm] are committed by people who don’t legally possess that firearm in the first place.""",meter-mostly-true,2013,December,3
5139,"Passing a federal firearms ""background check through the NICS database . . . typically takes 90 seconds.""",meter-mostly-true,2013,December,3
5140,"""The administration was kicking and screaming all the way with these sanctions being put in place (on Iran).""",meter-mostly-false,2013,November,24
5141,"""Florida sheriffs unequivocally support"" the ""stand your ground"" law.",meter-mostly-false,2013,November,7
5142,"Wendy Davis is ""fighting to bring ... Bloomberg-style gun control to Texas.""",meter-mostly-true,2013,November,7
5143,"Virginia is ""the number one state per capita in screening out people with mental illness from gun purchases.""",meter-mostly-true,2013,September,25
5144,"""The CDC issued a report commissioned by President Obama just earlier this year, and it found some very inconvenient facts. Armed citizens are less likely harmed by attackers. Effectiveness of gun control laws is mixed. Gun buybacks don't work.""",meter-mostly-true,2013,September,13
5145,Says Ken Cuccinelli supported a law that could allow people to carry missile launchers into airports.,meter-mostly-false,2013,August,23
5146,"The book Little Red Riding Hood is something ""that’s been banned in America,"" but not assault weapons.",meter-mostly-false,2013,April,15
5147,"Obamacare provision will allow ""forced home inspections"" by government agents.",meter-false,2013,August,15
5148,"Marijuana is ""less toxic"" than alcohol.",meter-mostly-true,2013,August,15
5149,"A United Nations working group has ""adopted a proposed agenda"" to enable member nations to ""disarm civilians within their borders.""",meter-false,2013,August,12
5150,"""In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.""",meter-true,2013,July,30
5151,"""Since I was elected, crime rates have been at their lowest in over a decade.""",meter-mostly-true,2013,July,9
5152,"""In 1960, most black children were raised in two-parent, monogamous families."" Today ""we have only 20 percent of black children being raised in two-parent, monogamous families...""",meter-mostly-true,2013,June,19
5153,"""In 1999, the NRA leadership in Washington, pretty much the same people intact, were for (expanded background checks.)""",meter-mostly-true,2013,June,20
5154,"A law that mandates fingerprinting for gun purchasers is ""a requirement that's reduced gun crimes in the five states where it's the law.""",meter-mostly-false,2013,May,19
5155,"When Susan Rice spoke about Benghazi on Sunday news shows, she said ""that al-Qaida might be involved, or other al-Qaida affiliates might be involved, or non-al-Qaida Libyan extremists, which I think demonstrates that there was no effort to play that down.""",meter-mostly-false,2013,May,10
5156,"North Korea has a ""substantial standing army, one of the largest, certainly the largest per capita, in the world.""",meter-true,2013,April,7
5157,"Proposed gun control legislation ""will outlaw practically every firearm, make you pay $100 per firearm, put you into a police database"" and make it ""nearly impossible"" to get a permit to carry a concealed weapon.",meter-mostly-false,2013,April,25
5158,"""If you are a federally licensed gun dealer and your license is revoked because you've engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.""",meter-true,2013,April,19
5159,"Right now, if Rhode Island police come across a young person with a gun, ""they really don't legally have the right to take it away from them.""",meter-mostly-true,2013,April,12
5160,"""No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.""",meter-mostly-true,2013,April,17
5161,"Ché Guevara ""wrote extensively about the superiority of white Europeans over people of African descent.""",meter-mostly-false,2013,April,14
5162,"Says a gun bill before the Senate would make it a federal felony to ""leave town for more than seven days, and leave someone else at home with your firearms.""",meter-mostly-true,2013,April,10
5163,"Air travelers ""can’t get on a plane in the United States without someone doing a background check"" on them.",meter-mostly-true,2013,April,3
5164,"Says in Chicago, ""we take more guns off the streets than New York or L.A.""",meter-true,2013,April,2
5165,"""In 2011 alone, 269 New Jerseyans were killed by gun violence.""",meter-true,2013,February,21
5166,"Says New York Mayor Michael Bloomberg says ""we can only have three bullets"" and ""the NRA wants firearms with nukes on them.""",meter-mostly-true,2013,March,24
5167,"Says of 80,000 people who were denied a firearm in 2012 due to a failed background check, only 44 were prosecuted.",meter-mostly-true,2013,February,19
5168,"Says Virginia, Florida and Georgia are the three states that are the principal source for gun trafficking.",meter-mostly-true,2013,February,27
5169,"U.S. Rep. Scott Rigell ""wants gun owners in a federal registration system.""",meter-false,2013,February,27
5170,Georgia has the most lax gun laws in the nation.,meter-false,2013,March,4
5171,"""We have no regulation of drones in the United States in their commercial use.""",meter-false,2013,March,7
5172,"Research found that ""over the course of the existence of the Brady Bill ban, the use of assault weapons in crimes decreased by two thirds.""",meter-mostly-true,2013,March,1
5173,"""We have over 300,000,000 weapons, firearms in this country. That’s almost as big as the population.""",meter-true,2013,February,16
5174,"""Rhode Island could tell you who has a camper, but we couldn't figure out who has a gun.""",meter-mostly-true,2013,February,26
5175,"""There’s more murders with hammers last year than...shotguns and pistols and AK-47s.""",meter-false,2013,February,11
5176,"""There are more people killed with baseball bats and hammers than are killed with guns.""",meter-false,2013,February,13
5177,"Says ""overwhelming majorities of Americans"" support gun legislation ""like background checks.""",meter-mostly-true,2013,February,12
5178,"""As a result of National Rifle Association and other private-sector (safety-education) programs, fatal firearms accidents are at the lowest level in 100 years.""",meter-mostly-true,2013,January,30
5179,"Says since Australia passed tough gun laws, ""homicides by firearm have declined almost 60 percent.""",meter-mostly-true,2013,January,25
5180,"Says according to the FBI, more people are killed each year with hammers and clubs than rifles.",meter-true,2013,January,3
5181,"Says Chuck Hagel has called for ""an end to our nuclear program.""",meter-mostly-false,2013,January,21
5182,"""One out of every five law enforcement officers that's killed is killed with an assault weapon.""",meter-mostly-true,2013,January,27
5183,"""We just had someone last week in Neenah near a school kill someone with a bow and arrow.""",meter-false,2013,January,10
5184,"In 2011, more people were murdered with knives, ""hands or feet"" or ""clubs and hammers"" than with any type of rifle.",meter-true,2013,January,8
5185,"""Connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons.""",meter-true,2012,December,18
5186,"""Even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting.""",meter-true,2012,December,12
5187,"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""",meter-mostly-true,2012,October,22
5188,"Says that ""you can’t destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.""",meter-false,2012,September,11
5189,"""Fast and Furious"" began under the Bush administration.",meter-false,2012,September,20
5190,"Says Charlie Crist ""was pro-life, pro-gun and vehemently anti-tax.""",meter-mostly-true,2012,August,29
5191,"Says President Obama said of the national debt, ""If I don't have this done in three years, then there's going to be a one-term proposition.""",meter-false,2012,August,14
5192,"Florida has ""more concealed weapons permits than any other state.""",meter-true,2012,August,13
5193,"Says Ron Saunders ""made the choice to stand with Rick Scott"" on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy.",meter-false,2012,August,6
5194,"A United Nations arms treaty would ""almost certainly force"" the U.S. to ""create an international gun registry, setting the stage for full-scale gun confiscation.""",meter-false,2012,August,10
5195,"""One of the key things about Leonard Lance is that in 2008, when you look at [the] Project Vote Smart website, he was not for guns. Now he has gone too far to the right, saying that you can carry concealed weapons in national parks.""",meter-mostly-false,2012,August,5
